Additive,Type,Regulatory Status,Uses,CFR,,,,
"Cumin, black (black caraway)",SP,GRAS,Spice,182.1,,,,
Cuprous iodide,NUTR/DS,GRAS,"Nutrient, dietary supplement",184.1265,,,,
"Curacao orange peel (orange, bitter, peel)",ESO,GRAS,Essential oil,182.2,,,,
Curdlan,MISC,REG/FS,Miscellaneous,172.809,,,,
"Currant black, buds & leaves",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Cusparia bark,ESO,GRAS,Essential oil,182.2,,,,
Cyclamates,NNS,ILL,Non-nutritive sweetener,,,,,
Cyclohexane,MISC,REG,Diluent,73.1,,,,
Cyclohexylamine,BC,REG,Boiler water additive,173.31,,,,
Cyfluthrin,INSECT,REG,Pesticide,180.436,,,,
Cysteine (l-form),"MISC, NUTR/DS","FS, REG","Miscellaneous, nutrient, dietary supplement","136, 184.1271, 184.1272, 172.320",,,,
Cysteine (l-form) monohydrochloride,MISC,GRAS,Miscellaneous,184.1272,,,,
Cystine (l form),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
Damar Gum (Shorea dipterocarpaceae),MISC,REG,Diluent,73.1,,,,
Damiana leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Dandelion, dandelion root",ESO,GRAS,Essential oil,182.2,,,,
"Dandelion, fluid extract (Taraxacum spp.)",GRAS,GRAS,,,,,,
DDVP,FEED,REG,Feed additive,See Dichlorvos,,,,
Decalactone alone or comb/w dodecalactone,FLAV,REG,Flavoring agent,172.515,,,,
Decanoic Acid,SANI,REG,Sanitizing agent,"178.1010, 172.210, 172.860, 173.340",,,,
1-Decanol,SYN fatty alcohol,,,172.864,,,,
Decoquinate,FEED,REG,Feed additive,"556.170, 558.195",,,,
"Decyl alcohol, synthetic",MISC,REG,Miscellaneous,172.864,,,,
"Defoaming agents and components Dimethylpolysiloxane, polyoxyethylene 40 monostearate, Polysorbate 60, Polysorbate 65, propylene glycol alginate, silicon dioxide, sorbitan monostearate, aluminum stearate",AF,REG,Antifoaming agent,173.34,,,,
"Defoaming agents, butter, oleomargarine, lard, corn oil, coconut oil, cottonseed oil, mono- and diglycerides of fat-forming fatty acids",AF,REG/FS,Antifoaming agent,150,,,,
Dehydroacetic acid or its Na salt,PRES,REG,Preservative,172.13,,,,
"Dextrans (avg mol wt <100,000)",MISC,GRAS,Miscellaneous,,,,,
Diacetyl,SY/FL,GRAS,Synthetic flavoring agent,184.1278,,,,
Dextrin,GRAS,GRAS,,184.1277,,,,
Dextrose,GRAS,GRAS,,184.1857,,,,
"Diacetyl tartaric acid esters of mono- and diglycerides of edible fats or oils, or edible fat-forming fatty acids",EMUL,GRAS/FS,Emulsifier,184.1101,,,,
"2,4-Diamino-5-(6-methylveratryl)pyrimidine",FEED,REG,Feed additive,See Ormetoprim,,,,
Di-n-alkyl(C8-C18-from coconut oil)dimethylammonium chloride,PEST,REG,Pesticide,172.71,,,,
Dialkanolamide (1 mole of methyl laurate w/ 1.05 mole of diethanolamine),MISC,REG,Miscellaneous,173.315,,,,
Diammonium phosphate,FEED,REG,Feed additive,573.32,,,,
Diatomaceous earth,FEED,REG,Feed additive,573.34,,,,
"2,2-Dibromo-3-nitrilopropionamide",PRES,REG,Preservative,173.32,,,,
Dicalcium phosphate,NUTR/FS,GRAS/FS,"Nutrient, miscellaneous",137,,,,
Dichlorodifluoromethane,MISC,REG,,173.355,,,,
Chloromethylated aminated styrene di-vinylbenzene resin,MISC,REG,,173.7,,,,
"2,4-Diamino-5-(6-methylveratryl)pyrimidine",FEED,REG,Feed additive,See Ormetoprim,,,,
Dichloroisocyanuric acid,SANI,REG,Sanitizing agent,178.101,,,,
"Dichlorvos (2,2-dichlorovinyl dimethyl phosphate or DDVP)",FEED,REG,Feed additive,"556.180, 558.205, 520.600",,,,
Diethanolamide condensate from soybean oil fatty acids (C16-C18),MISC,REG,Adjuvant,172.71,,,,
Diethanolamine condensate from stripped coconut oil fatty acids (C10-C18),MISC,REG,Adjuvant,172.71,,,,
Diethylaminoethanol,BC,REG,Boiler water additive,173.31,,,,
Diethylene glycol monoethyl ether,SANI,REG,Sanitizing agent,178.101,,,,
Diethylenetriamine,MISC,REG,,173.2,,,,
Diethylenetriamine crosslinked with epichlorohydrin,MISC,REG,,173.25,,,,
Diethylamino-cellulose,MISC,GMP,Fixing agent,173.357,,,,
Diethylstilbestrol (DES),FEED,BAN,Feed additive,,,,,
Diethyl pyrocarbonate (DEPC),INH,ILL,Inhibitor,,,,,
Diethyl tartrate,,,,,,,,
Dihydrosafrole,SY/FL,PD/ILL,Synthetic flavoring agent,,,,,
"3,5-Diiodosalicylic acid",DS,GRAS,Dietary supplement,582.8,,,,
Dilauryl thiodipropionate,AOX,GRAS,Antioxidant,182.328,,,,
Dill,SP/ESO,GRAS,"Spice, essential oil",184.1282,,,,
"Dill, Indian",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Dimethylamine-Epichlorhydrin Copolymer,MISC,REG,Miscellaneous,173.6,,,,
Dimethylamine-epichlorohydrin resin,MISC,GMP,Fixing agent,173.357,,,,
Dimethyldialkyl(C14-C18)ammonium chloride,MISC,REG,Miscellaneous,173.4,,,,
Dimethyl dicarbonate,MISC,REG,Microbial control agent,172.133,,,,
Dimethylethanolamine,MISC,REG,,173.2,,,,
Dimethylpolysiloxane,AF,REG,Antifoaming agent,173.34,,,,
Dimetridazole,FEED/VET,REG,"Feed additive, veterinary drug",,,,,
Di-n-alkyl(C8-C10)dimethyl-ammonium chloride,SANI,REG,Sanitizing agent,178.101,,,,
"Di-n-alkylC8-C10)dimethylammonium chloride, n-alkyl(C12-C18)benzyldimethylammonium chloride, ethyl alcohol and alpha-(p-nonylphenyl)-omega-hydroxypoly(oxyethylene)",SANI,REG,Sanitizing agent,178.101,,,,
"3,5-Dinitrobenzamide",FEED,REG,Feed additive,556.22,,,,
Dioctyl sodium sulfosuccinate,SDA,REG/FS,Solubilizing agent,"172.810, 163.117, 172.520, 172.810",,,,
Dipotassium phosphate,SEQ,GRAS/FS,Sequestrant,182.6285,,,,
Disodium cyanodithioimidocarbonate,MISC,REG,Microbial control agent,173.32,,,,
Disodium EDTA (Disodium ethylenediaminetetraacetate),MISC,REG/FS,Miscellaneous,"172.135, 155.200, 145, 136, 172.135, 573.360",,,,
Disodium cyanodithioimidocarbonate,MISC,REG,Microbial control agent,173.32,,,,
Disodium ethylenebisdithiocarbamate,PRES,REG,Preservative,173.32,,,,
Disodium guanylate,MISC,REG/FS,Miscellaneous,172.53,,,,
Disodium inosinate,FL/ADJ,REG,Flavoring adjuvant,172.535,,,,
"Disodium phosphate (X-ref - Sodium phosphate, mono-, di-, & tri-)","SEQ, EMUL",GRAS/FS,"Sequestrant, emulsifier","137.305, 136.3, 139, 131.130, 133, 135.30, 150",,,,
Dodecylbenzenesulfonic acid,SANI,REG,Sanitizing agent,178.101,,,,
alpha-(p-Dodecylphenyl)-omega-hydroxypoly(oxyethylene),PEST,REG,Pesticide,172.71,,,,
"Dog grass (quackgrass, triticum)",ESO,GRAS,Essential oil,182.2,,,,
Dulcin,NNS,ILL,Non-nutritive sweetener,,,,,
Dulse,NAT,GRAS,,,,,,
EDTA,See Calcium disodium EDTA and Disodium EDTA,,,,,,,
"EDTA, Tetrasodium",BC,REG,Boiler water additive,"173.310, 173.315",,,,
Efrotomycin,"VET, FEED",REG,"Veterinary drug, feed additive",558.235,,,,
Elder Flowers,SP/ESO,GRAS,"Spice, essential oil","182.20, 182.10",,,,
Enanthic acid,MISC,REG,Miscellaneous,173.315,,,,
Enzyme-modified soy protein,MISC,FD,Miscellaneous,,,,,
"Enzymes, carbohydrase & cellulase, from Aspergillus niger",ENZ,REG,Enzyme,173.12,,,,
Enzymes from Aspergillus oryzae,ENZ,FS,Enzyme,136,,,,
Enzymes from plant and animal sources,ENZ,GRAS,Enzyme,"184.1024, 184.1034, 184.1316, 184.1415, 184.1443a, 184.1583, 184.1595, 184.1914",,,,
"Enzymes (for milk clotting) from Endothis parasitica, Bacillus cereus, Mucor pusillus , Mucor miehei Cooney et Emerson, or Aspergillus oryzae modified by recombinant aspartic proteinase enzyme from Rhizomucor miehei",ENZ,REG,Enzyme,173.15,,,,
Enzyme-Modified Fats,FLAV/ADJ,GRAS,"Flavoring agent, flavoring adjuvant",184.1287,,,,
Epichlorohydrin,MISC,REG,Miscellaneous,172.892,,,,
Epoxidized soybean oil,STAB,REG,Stabilizer,172.723,,,,
Erythorbic acid,PRES,GRAS/FS,Preservative,See Isoascorbic acid,,,,
"Erythromycin, Erythromycin thiocyanate or phosphate",FEED/VET,REG,"Feed additive, veterinary drug","556.230, 558.55, 558.58, 558.62, 558.248, 558.680",,,,
Esterase-lipase from Mucor miehei,ENZ,REG,Enzyme,173.14,,,,
Estradiol,VET,REG,Veterinary drug,522.84,,,,
Estradiol benzoate,VET,REG,Veterinary drug,"556.240, 522.842, 522.19406",,,,
Estradiol valerate,VET,REG,Veterinary drug,522.194,,,,
"Estragole (or esdragol, estragon, esdragon, tarragon)",SP/ESO,GRAS,"Spice, essential oil",182.2,,,,
Ethopabate,FEED,REG,Feed additive,"556.260, 558.55, 558.58, 558.62, 558.76, 558.78, 558.248, 558.460, 558.530",,,,
Ethoxylated mono- and diglycerides,MISC,REG,Miscellaneous,172.834,,,,
Ethoxyquin,FEED/AOX,REG,"Feed additive, antioxidant","172.140, 573.380, 573.400",,,,
Ethyl acetate,SY/FS,"MISC, REG","Synthetic flavoring agent, miscellaneous","182.60, 173.228",,,,
Ethyl Alcohol (Ethanol),"INH, SANI","GRAS, REG","Inhibitor, sanitizing agent","184.1293, 170.3, 178.1010",,,,
Ethyl cellulose,MISC,REG,Miscellaneous,"172.868, 573.420, 173.357",,,,
Ethylene dichloride,SOLV,REG,Solvent,"173.230, 173.315, 573.440, 172.710",,,,
Ethylene glycol monobutyl ether,SANI,REG,Sanitizing agent,"178.1010, 173.315",,,,
Ethylene oxide copolymer condensates,STAB,REG,Stabilizer,"172.808, 172.770",,,,
"Ethylene oxide polymer, alkyl adduct",MISC,REG,Miscellaneous,173.315,,,,
"Ethylene oxide polymer, alkyl adduct, phosphate ester",MISC,REG,Miscellaneous,173.315,,,,
Ethylene oxide/propylene oxide copolymer,MISC,REG,Miscellaneous,"172.808, 173.340",,,,
"Ethylene oxide/propylene oxide copolymer, alkyl adduct",MISC,REG,Miscellaneous,173.315,,,,
"Ethylene oxide/propylene oxide copolymer, alkyl adduct, phosphate ester",MISC,REG,Miscellaneous,173.315,,,,
"Ethyl 4,4'-dichlorobenzilate",INSECT,REG,Pesticide,180.109,,,,
Ethyl ester of fatty acids,MISC,REG,Miscellaneous,172.225,,,,
Ethyl formate,SY/FL,GRAS,Synthetic flavoring agent,"184.1295, 172.510",,,,
Ethyl methylphenylglycidate,GRAS,GRAS,,,,,,
"Ethyl 4-hydroxy-6,7-diisobutoxy-3-quinolinecarboxylate",FEED,REG,Feed additive,See Buquinolate,,,,
Eucalyptus globulus leaves,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Eucheuma cottonii extract,MISC,REG/FS,Miscellaneous,172.62,,,,
Eucheuma spinosum extract,MISC,REG/FS,Miscellaneous,172-620,,,,
Eugenol,SY/FL,GRAS,Synthetic flavoring agent,184.1257,,,,
Exfoliated hydrobiotite (Verxite),FEED,REG,Feed additive,573.1,,,,
Famphur,PEST/VET,REG,"Pesticide, veterinary drug","558.254, 524.900, 520.1242g",,,,
Fatty acids,MISC,REG,Miscellaneous,"172.860, 173.340",,,,
"Fatty acids, salts of (aluminum, calcium, magnesium, potassium, and sodium)","MISC, FEED, CTG",REG,"Miscellaneous, feed additive, component or coating for fruits & vegetables","172.863, 573.640, 172.210",,,,
"Fatty alcohols, synthetic hexyl, octyl, decyl, lauryl, myistyl, cetyl, and stearyl alcohols",MISC,REG,Miscellaneous,172.864,,,,
Fenbendazole,VET,REG,Veterinary drug,"556.275, 520.905a, 520.905d, 520.905e, 558.258",,,,
"Fennel, common",SP,GRAS,Spice,182.1,,,,
"Fennel, sweet (Finochio, Florence)",SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Fenprostalene,VET,REG,Veterinary drug,"556.277, 522.914",,,,
Fenthion,PEST/VET,REG,"Pesticide, veterinary drug",524.92,,,,
Fenugreek,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Fermentation derived milk-clotting enzyme,ENZ,REG,Enzyme,173.15,,,,
Fermented ammoniated condensed whey,"See Whey, fermented ammoniated condensed",,,,,,,
Ferric ammonium chloride,NUTR,GRAS,Nutrient,184.1296,,,,
Ferric chloride,NUTR,GRAS,Nutrient,184.1297,,,,
Ferric citrate,NUTR,GRAS,Nutrient,184.1298,,,,
Ferric phosphate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5301, 184.1301",,,,
Ferric pyrophosphate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5304, 184.1304",,,,
Ferric sodium pyrophosphate,NUTR/DS,GRAS,"Nutrient, dietary supplement",182.5306,,,,
Ferric sulfate,NUTR,GRAS,Nutrient,184.1307,,,,
Ferrous ascorbate,NUTR,GRAS,Nutrient,184.1307a,,,,
Ferrous carbonate,NUTR,GRAS,Nutrient,184.1307b,,,,
Ferrous citrate,NUTR,GRAS,Nutrient,184.1307c,,,,
Ferrous fumarate,DS,REG,Dietary supplement,172.35,,,,
Ferrous gluconate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5308, 184.1308",,,,
Ferrous lactate,NUTR/Color fixative for ripe olives,GRAS,"Nutrient, color fixative","184.1311, 182.5311",,,,
Ferrous sulfate,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5315, 184.1315",,,,
"Fir (""pine"" & ""balsam"") needles and twigs",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Fish protein concentrate, whole",DS,REG,Dietary supplement,172.385,,,,
Fish protein isolate,DS,REG,Dietary supplement,172.34,,,,
"Flavoring substances, natural",FLAV,REG,Flavoring agent,172.51,,,,
"Fluorine - containing compounds (Sodium, potassium, or calcium fluoride)",MISC,PD,Miscellaneous,170.45,,,,
Folic acid (folacin),NUTR,REG,Nutrient,172.345,,,,
Food additives for use in milk producing animals for treatment of bovine mastitis,VET,REG,Veterinary drug,528.82,,,,
"Food starch, modified",MISC,REG,Miscellaneous,172.892,,,,
Food starch esterified with n-octenyl succinic anhydride treated with beta -amylase,MISC,REG,Miscellaneous,,,,,
Formaldehyde (paraformaldehyde),"PRES, MISC",REG,"Preservative, miscellaneous","173.340, 573.460",,,,
Formalin,FUNG,REG,Fungicide,529.103,,,,
Formic acid (x-ref - Ethyl formate),PEST,REG,Pesticide,"573.480, 186.1316",,,,
"Fumaric acid and its calcium, magnesium, potassium, and sodium salts",MISC,REG/FS,Miscellaneous,"172.350, 150.140, 150.160",,,,
Fumaric acid-Ferrous salt,DS,REG,Dietary supplement,See Ferrous fumarate,,,,
Furazolidone,VET,BAN,Veterinary drug,,,,,
Furcelleran,MISC,REG/FS,Miscellaneous,"172.655, 133.128, 135.30",,,,
"Furcelleran, salts of ammonium, calcium, potassium, or sodium",MISC,REG/FS,Miscellaneous,"172.660, 135.30",,,,
alpha-Galactosidase from Mortierella vinaceae var. raffinoseutilizer,ENZ,REG,Enzyme,173.145,,,,
Galanga (galangal root),SP/ESO,GRAS,"Spice, essential oil",182.1,,,,
"Galanga, greater",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Galbanum,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Gambir (catechu, pale)",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Garlic,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20, 182.1317",,,,
"Gas, combustion product",MISC,REG,Miscellaneous,173.35,,,,
Gellan Gum,MISC,REG,Miscellaneous,172.665,,,,
Genet Flowers,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Gentian rhizome & roots,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
"Gentian, stemless",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
GENTIAN VIOLET,FUNG,REG,Fungicide,589.1,,,,
Gentamicin Sulfate,VET,REG,Veterinary drug,"556.300, 520.1044a, 520.1044b, 520.1044c, 524.1044",,,,
"Geraniol (3,7-dimethyl-2,6 and 3,6-octadien-1-ol)",SY/FL,GRAS,Synthetic flavoring agent,182.6,,,,
Geranium,SP/FLAV/ESO,GRAS,"Spice, flavoring agent, essential oil",182.2,,,,
"Geranium, East Indian or rose",ESO,GRAS,Essential oil,182.2,,,,
Geranyl acetate (geraniol acetate),SY/FL,GRAS,Synthetic flavoring agent,182.6,,,,
Geranyl isobutyrate,,,,,,,,
"Germander, chamaedrys or golden",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Ghatti gum,EMUL,GRAS,Emulsifier,184.1333,,,,
Gibberellic acid and its potassium salt,MISC,REG,Miscellaneous,172.725,,,,
Gigartina extracts,MISC,REG/FS,Miscellaneous,172.62,,,,
Ginger,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Gluconate salts of Ca and Na,MISC,FS,Miscellaneous,"See limitations on use levels for Ca salt in 184.1199, 182.6757",,,,
Glucono delta-lactone,MISC,GRAS,Miscellaneous,184.1318,,,,
Glutamic acid (or hydrochloride),NUTR/DS,REG,"Nutrient, dietary supplement","172.320, 182.1045, 182.1047",,,,
"Glutamic acid, condensed extracted fermentation product",FEED,REG,Feed additive,573.5,,,,
Glutamine,NUTR,REG,Nutrient,172.32,,,,
Glutaraldehyde,MISC,GMP,Fixing agent,173.357,,,,
Glycerides and polyglycides of hydrogenated vegetable oils,MISC,,Miscellaneous,172.736,,,,
Glycerin,MISC,GRAS/FS,Miscellaneous,"182.1320, 582",,,,
"Glycerin, synthetic",MISC,REG,Miscellaneous,172.866,,,,
Glycerol,See glycerin,,,,,,,
Glycerol ester of gum rosin,MISC,REG,Miscellaneous,"172.735, 172.615",,,,
Gum arabic (Acacia),STAB,GRAS/FS,Stabilizer,"184.1330, 169, 135, 169",,,,
Gum ghatti,STAB,GRAS/FS,Stabilizer,184.1333,,,,
Gum gluten,STAB,FS,Stabilizer,139,,,,
Gum karaya,STAB,GRAS/FS,Stabilizer,"184.1349, 133, 169, 135, 150",,,,
Gum tragacanth,STAB,GRAS/FS,Stabilizer,"184.1351, 133, 135, 169, 150",,,,
Gums (natural) of vegetable origin,MISC,REG,Miscellaneous,172.615,,,,
Guta Hang Kang,MISC,REG,Miscellaneous,172.615,,,,
Halofuginone hydrobromide,FEED,REG,Feed additive,"558.625, 556.308",,,,
Haloxon,VET,REG,Veterinary drug,"556.310, 520.1120",,,,
"Haw, black bark",FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Helium,MISC,GRAS,Miscellaneous,184.1355,,,,
Hemicellulose extract,FEED,REG,Feed additive,573.52,,,,
Hemlock needles & twigs,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Heptylparaben (n-heptyl p-hydroxybenzoate),INH,REG,Inhibitor,"172.145, 172.145, 193.285",,,,
Hexachlorophene,VET,REG,Veterinary drug,500.46,,,,
Hexane,SOLV,REG,Solvent,"173.270, 172.560, 172.340",,,,
Hexitol oleate,EMUL,ILL,Emulsifier,,,,,
"Hexyl alcohol, synthetic",MISC,REG,Miscellaneous,172.864,,,,
Hickory bark,ESO,GRAS,Essential oil,182.2,,,,
Histidine (l form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
"Hop extract, modified",FLAV,REG,Flavoring agent,172.56,,,,
Hops,ESO,GRAS,Essential oil,182.2,,,,
Horehound (hoarhound),SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Horsemint,ESO,GRAS,Essential oil,182.2,,,,
Horseradish,SP,GRAS,Spice,182.1,,,,
Hyacinth Flowers,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Hydrazine,BC,REG,Boiler water additive,173.31,,,,
Hydriodic acid,SANI,REG,Sanitizing agent,178.101,,,,
"Hydrobiotite, exfoliated",FEED,REG,Feed additive,See Verxite,,,,
Hydrochloric acid,MISC,REG,Miscellaneous,"172.892, 182.1057, 131.1444, 133.129, 155, 160.105, 160.185, 172.560, 582.1057",,,,
Hydrocortisone (as acetate or sodium succinate),VET,REG,Veterinary drug,"556.320, 556.820",,,,
Hydrogen peroxide,MISC,REG,Miscellaneous,173.315,,,,
Hydrogenated corn syrup,REG,GMP,,573.53,,,,
Hydrogenated menhaden oil,GRAS,GRAS,,184.1472,,,,
Hydrolyzed leather meal,FEED,REG,Feed additive,573.54,,,,
Hydrolyzed vegetable protein,FLAV,FS,Flavoring agent,"161.190, 155",,,,
"1-Hydroxyethylidene-1,1-diphosphonic acid",MISC,REG,Miscellaneous,173.315,,,,
alpha-Hydro-omega-hydroxypoly(oxyethylene)poly(oxypropylene) (minimum 15 moles) poly(oxyethylene) block copolymers,AF,REG,Antifoaming agent,172.808,,,,
"alpha-Hydro-omega-hydroxypoly(oxyethylene)poly(oxypropylene)(53-59moles) poly(oxyethylene)(14-16 moles) block copolymer, (mol wt 3500-4125)",SDA,REG,Solubilizing agent,172.81,,,,
"alpha-Hydro-omega-hydroxy-poly(oxyethylene)poly(oxypropylene) (55-61 moles) poly(oxyethylene) block copolymers, (mol wt. 9,760-13,200)",SDA/STAB,REG,"Solubilizing agent, stabilizer",172.808,,,,
"alpha-Hydro-omega-hydroxypoly(oxyethylene)poly(oxypropylene)(51-57moles) poly(oxyethylene) block copolymer (Mol. wt. 14,000)",MISC,REG,Miscellaneous,172.808,,,,
"1-Hydroxyethylidene-1,1-diphosphonic acid",REG,REG,,173.315,,,,
Hydroxylated lecithin,EMUL,FS,Emulsifier,"172.814, 136",,,,
"4-Hydroxymethyl-2,6-di-tert-butylphenol",REG,REG,Antioxidant,172.15,,,,
Hydroxypropyl cellulose,MISC,REG,Miscellaneous,172.87,,,,
Hydroxypropyl methylcellulose,EMUL,REG/FS,Emulsifier,"172.874, 169, 135",,,,
8-hydroxyquinoline sulfate,MISC,BAN,Miscellaneous,,,,,
Hygromycin B,FEED,REG,Feed additive,"556.330, 558.55, 558.58, 558.76, 558.78, 558.128, 558.274, 558.460, 558.625, 558.630, 558.680",,,,
Hyssop,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
Iceland moss,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Immortelle,ESO,GRAS,Essential oil,182.2,,,,
Imperatoria,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Inositol,NUTR/DS,GRAS,"Nutrient, dietary supplement","182.5370, 184.1370",,,,
Insoluble Glucose Isamase enzyme preparations,ENZ,GRAS,Enzyme,184.1372,,,,
Intrinsic Factor complex (Liver-stomach concentration),DS,ILL,Dietary supplement,250.201,,,,
Invert sugar,NUTR,GRAS/FS,Nutritive sweetener,"184.1859, 145, 146, 169",,,,
Iodine,SANI,REG,Sanitizing agent,178.101,,,,
Iodine (from potassium iodide),DS,REG,Dietary supplement,172.375,,,,
"Iodine (calcium iodate, calcium iodobehenate, cuprous iodide, 3,5-diiodosalicylic acid, ethylenediamine dihydroiodide, potassium iodate, potassium iodide, sodium iodate, sodium iodide, thymol iodide)",NUTR,GRAS,Nutrient,582.8,,,,
Iodinated casein,FEED,REG,Feed additive,558.295,,,,
Ion exchange membranes,MISC,REG,Miscellaneous,173.2,,,,
Ion exchange resins,MISC,REG,Miscellaneous,173.25,,,,
Ipronidazole,"FEED, VET",REG,"Feed additive, veterinary drug",,,,,
"Irish Moss, extract of",See Carrageenan,,,,,,,
"Iron (ascorbate, carbonate, chloride, citrate, fumarate, gluconate, lactate, oxide, phosphate, pyrophosphate, sodium pyrophosphate, sulfate, reduced iron)",NUTR,GRAS,Nutrient,582.8,,,,
Iron ammonium citrate,AC,REG,Anticaking agent,"172.430, 573.560",,,,
Iron-choline citrate complex,"FEED, NUTR/DS",REG,"Feed additive, nutrient, dietary supplement","573.580, 172.370",,,,
Iron (harmless salts of),NUTR,FS,Nutrient,"137, 139, 136",,,,
"Iron, elemental",NUTR/DS,GRAS,"Nutrient, dietary supplement",184.1375,,,,
"Iron, reduced",DS,GRAS,Dietary supplement,182.5375,,,,
Iron salts,See Ferric and Ferrous listings,,,,,,,
Irradiated enzymes,MISC,REG,Miscellaneous,179.26,,,,
Irradiated food,MISC,REG,Miscellaneous,179.26,,,,
Irradiated meats,MISC,REG,Miscellaneous,179.26,,,,
Irradiated molluscan shellfish,MISC,REG,Miscellaneous,179.26,,,,
Irradiated pork,MISC,REG,Miscellaneous,179.26,,,,
Irradiated poultry,MISC,REG,Miscellaneous,179.26,,,,
Irradiated poultry feed,FEED,REG,Feed additive,579.4,,,,
Irradiated yeast,NUTR,FS,Nutrient,137.305,,,,
"Irradiated spices, herbs & seasonings",SP,REG,Spice,179.26,,,,
Irradiation,,,,"579.22, 179",,,,
Isoascorbic acid,PRES,GRAS,Preservative,182.3041,,,,
Isobutane,GRAS,GRAS,,184.1165,,,,
Isobutylene-isoprene copolymer,MISC,REG,Miscellaneous,172.615,,,,
"Isobutylene resin, polyisobutylene",MISC,REG,Miscellaneous,172.615,,,,
Isoleucine (l form only),NUTR/DS,REG,"Nutrient, dietary supplement",172.32,,,,
"Isoparaffinic petroleum hydrocarbons, synthetic",MISC,REG,Miscellaneous,172.882,,,,
"Isopropanol, isopropyl alcohol",SOLV,REG,Solvent,"172.560, 173.240, 173.340, 178.1010(b)(17), 178.1010(b)(7)",,,,
Isopropyl citrate,GRAS/FS,GRAS,,"182.6386, 166.110",,,,
Iva,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Ivermectin,VET,REG,Veterinary drug,"556.344, 522.1193, 520.1192",,,,
Jasmine,ESO,GRAS,Essential oil,182.2,,,,
Jelutong,MISC,REG,Miscellaneous,172.615,,,,
Juniper (berries),ESO,GRAS,Essential oil,182.2,,,,
Karaya gum,STAB,GRAS/FS,Stabilizer,184.1349,,,,
Kelp,DS,REG,Dietary supplement,172.365,,,,
"Kelp (see algae, brown)",NAT,GRAS,Natural,"184.1120, 172.365",,,,
Kola nut,ESO,GRAS,Essential oil,182.2,,,,
Labdanum,FL/ADJ,REG,Flavoring adjuvant,172.51,,,,
Lactase Enzyme Preparation from Kluyveromyces lactis,ENZ,GRAS,Enzyme,184.1388,,,,
Lactic acid,B&N,GRAS/FS,"Buffer, neutralizing agent","184.1061, 136, 133, 135, 150, 582.1061",,,,
Lactose,NUTRS,FS,Nutritive sweetener,"168.122, 133, 169, 169",,,,
"Lactose, Hydrolyzed",NUTRS,FS,Nutritive sweetener,133,,,,
Lactylated fatty acid esters of glycerol and propylene glycol,EMUL,REG,Emulsifier,172.85,,,,
Lactylic esters of fatty acids,EMUL,REG,Emulsifier,172.848,,,,
Lactylic stearate,MISC,REG/FS,Miscellaneous,172.844,,,,
Lanolin,MISC,REG,Miscellaneous,172.615,,,,
Lasolocid sodium,FEED,REG,Feed additive,"558.311, 556.347",,,,
Lasalocid sodium,FEED,REG,Feed additive,"556.347, 558.311",,,,
Latex (butadiene styrene rubber),MISC,REG,Miscellaneous,172.615,,,,
"Laurel berries, leaves",ESO,GRAS,Essential oil,182.2,,,,
Laureth 23,See Polyoxyethylene (23) Lauryl Ether,,,,,,,
Lauric acid,MISC,REG,Miscellaneous,"172.210, 172.860, 173.340",,,,
"Lauryl alcohol, synthetic",MISC,REG,Miscellaneous,172.864,,,,
alpha-Lauryl-omega-hydroxypoly (oxyethylene) (avg. mol wt 400),SANI,REG,Sanitizing agent,178.101,,,,
Lavandin,ESO,GRAS,Essential oil,182.2,,,,
Lavender,SP/ESO,GRAS,"Spice, essential oil","182.10, 182.20",,,,
"Lavender, spike",ESO,GRAS,Essential oil,182.2,,,,
